CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10597,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10599,No,High Priority,Moderate Priority,Slight Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,No Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
10602,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,8
10605,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority
10607,No,Slight Priority,Slight Priority,High Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10608,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10609,No,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
10623,No,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
10636,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority
10638,No,Moderate Priority,High Priority,Moderate Priority,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10660,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,8
10663,No,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
10667,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,8
10672,No,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10681,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10682,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10683,No,Very High Priority,Moderate Priority,Slight Priority,No Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
10684,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
10685,No,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,No Priority,High Priority,8
10695,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10696,No,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
10697,No,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,8
10699,No,Moderate Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,8
10702,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10703,No,Moderate Priority,No Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
10709,No,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,8
10713,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10714,No,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority
10719,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,8
10722,No,High Priority,Moderate Priority,Slight Priority,No Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,High Priority,8
10728,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10731,No,Very High Priority,Slight Priority,Very High Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
10736,No,Slight Priority,Slight Priority,No Priority,No Priority,Slight Priority,Very High Priority,Slight Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,High Priority,High Priority,8
10739,No,High Priority,High Priority,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority
10740,No,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Slight Priority,8
10743,No,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10750,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10754,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,8
10755,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
10756,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,8
10758,Yes,Very High Priority,Very High Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10763,No,Moderate Priority,Slight Priority,Slight Priority,No Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10767,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10768,No,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
